    ,visit_id         ,site_url                        ,site_rank ,complete ,banners ,interaction    ,clicked        ,count_fp ,count_tp ,count_tr
134 ,8823962140058393 ,https://scoop.it                ,      134 ,True     ,      1 ,No interaction ,No interaction ,       3 ,       2 ,       0
135 , 231181943419740 ,https://siteground.com          ,      135 ,True     ,      1 ,No interaction ,No interaction ,       9 ,       3 ,       0
136 ,7949068602695390 ,https://superuser.com           ,      136 ,True     ,      1 ,No interaction ,No interaction ,       1 ,       1 ,       0
137 ,8059003501757368 ,https://byu.edu                 ,      137 ,True     ,      0 ,No interaction ,No interaction ,       7 ,       3 ,       0
138 ,2333653956787456 ,https://thespruce.com           ,      138 ,True     ,      0 ,No interaction ,No interaction ,      28 ,      37 ,      24
139 ,5402170478249000 ,https://chinatelecomglobal.com  ,      139 ,True     ,      2 ,No interaction ,No interaction ,       7 ,       2 ,       0
140 ,5755731557157161 ,https://senderscore.com         ,      140 ,True     ,      1 ,No interaction ,No interaction ,       0 ,      33 ,       2
141 ,8922536219362156 ,https://greenhouse.io           ,      141 ,True     ,      1 ,No interaction ,No interaction ,       0 ,      82 ,      28
142 ,8717918804003719 ,https://mynavi.jp               ,      142 ,True     ,      1 ,No interaction ,No interaction ,       7 ,       0 ,       0
143 ,6573034604916111 ,https://fujitsu.com             ,      143 ,True     ,      1 ,No interaction ,No interaction ,      14 ,      18 ,       7
144 ,3004590824445500 ,https://lnk.to                  ,      144 ,True     ,      1 ,No interaction ,No interaction ,       0 ,       3 ,       0
145 ,7075560992525902 ,https://verywellhealth.com      ,      145 ,True     ,      0 ,No interaction ,No interaction ,      21 ,      35 ,      24
146 ,5789431413246223 ,https://ultradns.org            ,      146 ,True     ,      0 ,No interaction ,No interaction ,       0 ,       0 ,       0
147 , 486874810157385 ,https://mimecast.net            ,      147 ,True     ,      1 ,No interaction ,No interaction ,       0 ,      61 ,      18
148 ,2273345597917709 ,https://gmu.edu                 ,      148 ,True     ,      1 ,No interaction ,No interaction ,      15 ,      21 ,      10
149 ,1156602177509030 ,https://treehugger.com          ,      149 ,True     ,      0 ,No interaction ,No interaction ,      23 ,      37 ,      26
150 ,8666822415010476 ,https://sendinblue.com          ,      150 ,True     ,      1 ,No interaction ,No interaction ,       1 ,      32 ,       0
151 ,5481864284566379 ,https://nhl.com                 ,      151 ,True     ,      1 ,No interaction ,No interaction ,      16 ,      17 ,      13
152 ,7355896787592638 ,https://acer.com                ,      152 ,False    ,      1 ,No interaction ,No interaction ,      20 ,      51 ,      33
153 ,2295442193817038 ,https://siteground.biz          ,      153 ,True     ,      1 ,No interaction ,No interaction ,       0 ,      12 ,       0
154 ,5070049304376847 ,https://smartthings.com         ,      154 ,True     ,      1 ,No interaction ,No interaction ,       1 ,       0 ,       0
155 ,7373722663979745 ,https://sketchup.com            ,      155 ,True     ,      1 ,No interaction ,No interaction ,      28 ,      20 ,       3
156 ,7456245093286238 ,https://askubuntu.com           ,      156 ,True     ,      1 ,No interaction ,No interaction ,       1 ,       1 ,       0
157 ,4325342329313098 ,https://travelandleisure.com    ,      157 ,True     ,      0 ,No interaction ,No interaction ,      34 ,     137 ,     119
158 ,7422764405484587 ,https://observer.com            ,      158 ,False    ,      0 ,No interaction ,No interaction ,      27 ,      92 ,      83
159 ,3719859324992459 ,https://kaltura.com             ,      159 ,True     ,      1 ,No interaction ,No interaction ,       2 ,       0 ,       0
160 ,1429155442667571 ,https://bunq.com                ,      160 ,True     ,      1 ,No interaction ,No interaction ,       6 ,       1 ,       0
161 ,8302283119348605 ,https://unimelb.edu.au          ,      161 ,True     ,      1 ,No interaction ,No interaction ,       8 ,       0 ,       0
162 ,5937401565136118 ,https://smadex.com              ,      162 ,False    ,      1 ,No interaction ,No interaction ,       5 ,       0 ,       0
